,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.4974533106960951,0.5,0.45999999999999996,0.6
1,1,0.37019230769230765,0.5721925133689839,0.36,0.5800000000000001
2,2,0.5422794117647058,0.635,0.5800000000000001,0.54
3,3,0.5766666666666667,0.5220588235294117,0.6,0.62
4,4,0.6268382352941176,0.7928692699490663,0.5800000000000001,0.72
5,5,0.4461805555555556,0.7291666666666667,0.38,0.6799999999999999
6,6,0.695,0.4099264705882353,0.5800000000000001,0.4
7,7,0.48217317487266553,0.4159592529711375,0.6,0.54
8,8,0.580952380952381,0.7110016420361247,0.45999999999999996,0.6599999999999999
9,9,0.7076648841354723,0.6448412698412698,0.6799999999999999,0.7
